,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3900,0.66,0.751,9,-6.333,1,0.108,0.131,0.000196,0.11,0.563,94.491,audio_features,5NJvgtVjLTTogjFcrOIZYN,spotify:track:5NJvgtVjLTTogjFcrOIZYN,https://api.spotify.com/v1/tracks/5NJvgtVjLTTogjFcrOIZYN,https://api.spotify.com/v1/audio-analysis/5NJvgtVjLTTogjFcrOIZYN,278280,4
3901,0.67,0.705,3,-5.573,0,0.126,0.182,2.08e-05,0.101,0.67,116.052,audio_features,0nHFy6NhdXegDdokhXrTw0,spotify:track:0nHFy6NhdXegDdokhXrTw0,https://api.spotify.com/v1/tracks/0nHFy6NhdXegDdokhXrTw0,https://api.spotify.com/v1/audio-analysis/0nHFy6NhdXegDdokhXrTw0,225933,4
3902,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,audio_features,6Z165JvPnS8PYvGW8oLGLc,spotify:track:6Z165JvPnS8PYvGW8oLGLc,https://api.spotify.com/v1/tracks/6Z165JvPnS8PYvGW8oLGLc,https://api.spotify.com/v1/audio-analysis/6Z165JvPnS8PYvGW8oLGLc,157373,4
3903,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,audio_features,5b7OgznPJJr1vHNYGyvxau,spotify:track:5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/tracks/5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/audio-analysis/5b7OgznPJJr1vHNYGyvxau,147000,4
3904,0.737,0.479,9,-10.956,1,0.0431,0.721,0.000288,0.124,0.404,111.971,audio_features,2uatFg68ynGEapEel9ASuK,spotify:track:2uatFg68ynGEapEel9ASuK,https://api.spotify.com/v1/tracks/2uatFg68ynGEapEel9ASuK,https://api.spotify.com/v1/audio-analysis/2uatFg68ynGEapEel9ASuK,278983,4
3905,0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,audio_features,1mvDFqbbmgmMmU6U4dIq5m,spotify:track:1mvDFqbbmgmMmU6U4dIq5m,https://api.spotify.com/v1/tracks/1mvDFqbbmgmMmU6U4dIq5m,https://api.spotify.com/v1/audio-analysis/1mvDFqbbmgmMmU6U4dIq5m,268667,4
3906,0.441,0.563,9,-5.252,0,0.0288,0.0981,9.78e-05,0.221,0.282,182.704,audio_features,6UuVONmxXwTKN1ISepuAoQ,spotify:track:6UuVONmxXwTKN1ISepuAoQ,https://api.spotify.com/v1/tracks/6UuVONmxXwTKN1ISepuAoQ,https://api.spotify.com/v1/audio-analysis/6UuVONmxXwTKN1ISepuAoQ,312213,3
3907,0.276,0.949,1,-7.676,1,0.087,7.55e-06,0.109,0.876,0.118,131.589,audio_features,0kNrZfKZMvqxK36pUeB4wX,spotify:track:0kNrZfKZMvqxK36pUeB4wX,https://api.spotify.com/v1/tracks/0kNrZfKZMvqxK36pUeB4wX,https://api.spotify.com/v1/audio-analysis/0kNrZfKZMvqxK36pUeB4wX,276640,4
3908,0.355,0.298,8,-12.277,1,0.0581,0.31,0.00266,0.185,0.0714,115.823,audio_features,4nESnAOALHmxg8UFCCtXhO,spotify:track:4nESnAOALHmxg8UFCCtXhO,https://api.spotify.com/v1/tracks/4nESnAOALHmxg8UFCCtXhO,https://api.spotify.com/v1/audio-analysis/4nESnAOALHmxg8UFCCtXhO,602297,3
3909,0.395,0.676,0,-5.46,1,0.0498,0.608,4.86e-05,0.117,0.315,142.929,audio_features,0bkW98npv8EsWQ2fXFzK56,spotify:track:0bkW98npv8EsWQ2fXFzK56,https://api.spotify.com/v1/tracks/0bkW98npv8EsWQ2fXFzK56,https://api.spotify.com/v1/audio-analysis/0bkW98npv8EsWQ2fXFzK56,283467,5
3910,0.671,0.156,8,-16.288,1,0.0371,0.804,0.0518,0.113,0.201,94.08,audio_features,1IF5UcqRO42D12vYwceOY6,spotify:track:1IF5UcqRO42D12vYwceOY6,https://api.spotify.com/v1/tracks/1IF5UcqRO42D12vYwceOY6,https://api.spotify.com/v1/audio-analysis/1IF5UcqRO42D12vYwceOY6,211960,4
3911,0.478,0.373,5,-9.505,1,0.0317,0.915,6.36e-06,0.128,0.354,120.129,audio_features,62d6YXEYxmMWAuLpw1EysL,spotify:track:62d6YXEYxmMWAuLpw1EysL,https://api.spotify.com/v1/tracks/62d6YXEYxmMWAuLpw1EysL,https://api.spotify.com/v1/audio-analysis/62d6YXEYxmMWAuLpw1EysL,195406,4
3912,0.426,0.274,0,-16.649,1,0.146,0.856,0.00658,0.111,0.169,100.255,audio_features,5bIgzvxvlefRUCQK9JPocF,spotify:track:5bIgzvxvlefRUCQK9JPocF,https://api.spotify.com/v1/tracks/5bIgzvxvlefRUCQK9JPocF,https://api.spotify.com/v1/audio-analysis/5bIgzvxvlefRUCQK9JPocF,219682,4
3913,0.478,0.439,2,-11.877,1,0.05,0.865,0.0122,0.105,0.287,101.893,audio_features,5YTJXAM6j8jEQ5vC8Q67GL,spotify:track:5YTJXAM6j8jEQ5vC8Q67GL,https://api.spotify.com/v1/tracks/5YTJXAM6j8jEQ5vC8Q67GL,https://api.spotify.com/v1/audio-analysis/5YTJXAM6j8jEQ5vC8Q67GL,247307,4
3914,0.214,0.116,10,-24.642,1,0.0438,0.962,0.187,0.0967,0.0794,71.463,audio_features,5kZvRiegjMkdh0RNsZGLcU,spotify:track:5kZvRiegjMkdh0RNsZGLcU,https://api.spotify.com/v1/tracks/5kZvRiegjMkdh0RNsZGLcU,https://api.spotify.com/v1/audio-analysis/5kZvRiegjMkdh0RNsZGLcU,294000,4
3915,0.734,0.856,6,-4.592,0,0.056,0.0642,0.000475,0.0442,0.67,115.027,audio_features,0PGxTaUcMggyJxTyLy0uOx,spotify:track:0PGxTaUcMggyJxTyLy0uOx,https://api.spotify.com/v1/tracks/0PGxTaUcMggyJxTyLy0uOx,https://api.spotify.com/v1/audio-analysis/0PGxTaUcMggyJxTyLy0uOx,285080,4
3916,0.468,0.802,0,-8.769,1,0.035,0.0492,0.0,0.0728,0.964,175.154,audio_features,5FOh9frnN5RMHgVOTYoTGI,spotify:track:5FOh9frnN5RMHgVOTYoTGI,https://api.spotify.com/v1/tracks/5FOh9frnN5RMHgVOTYoTGI,https://api.spotify.com/v1/audio-analysis/5FOh9frnN5RMHgVOTYoTGI,152613,4
